CREATE 658
VERTEX 0 北京
VERTEX 1 廊坊
VERTEX 2 天津
VERTEX 3 塘沽
VERTEX 4 涿州
VERTEX 5 保定
VERTEX 6 石家庄
VERTEX 7 锦州
VERTEX 8 沈阳
VERTEX 9 通州
VERTEX 10 燕郊
VERTEX 11 首都机场
VERTEX 12 昌平
VERTEX 13 居庸关
VERTEX 14 康庄
VERTEX 15 固安大桥
VERTEX 16 大兴
VERTEX 17 唐山
VERTEX 18 旧关
VERTEX 19 太原
VERTEX 20 安阳
VERTEX 21 黄骅
VERTEX 22 宣化
VERTEX 23 大同
VERTEX 24 呼和浩特
VERTEX 25 京唐港
VERTEX 26 原平
VERTEX 27 汾阳
VERTEX 28 运城
VERTEX 29 风陵渡
VERTEX 30 阳城
VERTEX 31 晋城
VERTEX 32 洛阳
VERTEX 33 包头
VERTEX 34 鞍山
VERTEX 35 大石桥
VERTEX 36 大连
VERTEX 37 本溪
VERTEX 38 铁岭
VERTEX 39 四平
VERTEX 40 抚顺
VERTEX 41 长春
VERTEX 42 吉林
VERTEX 43 哈尔滨
VERTEX 44 营城子
VERTEX 45 大庆
VERTEX 46 芜湖
VERTEX 47 宣城
VERTEX 48 杭州
VERTEX 49 上虞
VERTEX 50 温州
VERTEX 51 南昌
VERTEX 52 九江
VERTEX 53 武汉
VERTEX 54 潍坊
VERTEX 55 青州
VERTEX 56 青岛
VERTEX 57 日照
VERTEX 58 佳木斯
VERTEX 59 绥远
VERTEX 60 绥芬河
VERTEX 61 南京
VERTEX 62 常州
VERTEX 63 无锡
VERTEX 64 苏州
VERTEX 65 上海
VERTEX 66 即墨
VERTEX 67 威海
VERTEX 68 烟台
VERTEX 69 乳山
VERTEX 70 宁波
VERTEX 71 北仑
VERTEX 72 菏泽
VERTEX 73 济南
VERTEX 74 东明
VERTEX 75 博山
VERTEX 76 莱芜
VERTEX 77 枣庄
VERTEX 78 木石
VERTEX 79 泰安
VERTEX 80 嘉定
VERTEX 81 太仓
VERTEX 82 福州
VERTEX 83 泉州
VERTEX 84 厦门
VERTEX 85 漳州
VERTEX 86 厚田
VERTEX 87 马鞍山
VERTEX 88 南通
VERTEX 89 高淳
VERTEX 90 三门
VERTEX 91 留下
VERTEX 92 合肥
VERTEX 93 三角兀
VERTEX 94 西潘楼
VERTEX 95 广德
VERTEX 96 岱家山
VERTEX 97 黄陂
VERTEX 98 长沙
VERTEX 99 益场
VERTEX 100 常德
VERTEX 101 湘潭
VERTEX 102 耒阳
VERTEX 103 郑州
VERTEX 104 蚌埠
VERTEX 105 樟树
VERTEX 106 景德镇
VERTEX 107 淄博
VERTEX 108 莱阳
VERTEX 109 竹园
VERTEX 110 联城
VERTEX 111 馆陶
VERTEX 112 东营港
VERTEX 113 东营市
VERTEX 114 荷泽
VERTEX 115 张山子
VERTEX 116 开封
VERTEX 117 新乡
VERTEX 118 许昌
VERTEX 119 漯河
VERTEX 120 驻马店
VERTEX 121 商丘芒山
VERTEX 122 灵宝
VERTEX 123 宣昌
VERTEX 124 黄梅
VERTEX 125 天河机场
VERTEX 126 浏阳
VERTEX 127 广州
VERTEX 128 宣章
VERTEX 129 深圳
VERTEX 130 汕头
VERTEX 131 汾水关
VERTEX 132 珠海
VERTEX 133 大沥
VERTEX 134 三水
VERTEX 135 佛山
VERTEX 136 开平
VERTEX 137 花都
VERTEX 138 惠州
VERTEX 139 南宁
VERTEX 140 柳州
VERTEX 141 桂林
VERTEX 142 钦州
VERTEX 143 北海
VERTEX 144 宣州
VERTEX 145 海口
VERTEX 146 三亚
VERTEX 147 重庆
VERTEX 148 达州
VERTEX 149 长寿
VERTEX 150 涪陵
VERTEX 151 成都
VERTEX 152 内江
VERTEX 153 隆昌
VERTEX 154 绵阳
VERTEX 155 雅安
VERTEX 156 揭阳
VERTEX 157 普宁
VERTEX 158 惠来
VERTEX 159 乐山
VERTEX 160 嘉峪关
VERTEX 161 酒泉
VERTEX 162 兰州
VERTEX 163 都江堰
VERTEX 164 自贡
VERTEX 165 宣宾
VERTEX 166 纳溪
VERTEX 167 泸沽
VERTEX 168 黄联关
VERTEX 169 贵阳
VERTEX 170 都匀
VERTEX 171 新泰
VERTEX 172 黄果树
VERTEX 173 遵义
VERTEX 174 叶盛
VERTEX 175 王圈梁
VERTEX 176 古窑子
VERTEX 177 毕节
VERTEX 178 麻江
VERTEX 179 凯里
VERTEX 180 中山
VERTEX 181 江门
VERTEX 182 白色
VERTEX 183 全州
VERTEX 184 罗村口
VERTEX 185 六景
VERTEX 186 苍梧
VERTEX 187 郁南
VERTEX 188 昆明
VERTEX 189 楚雄
VERTEX 190 大理
VERTEX 191 曲靖
VERTEX 192 陆良
VERTEX 193 玉溪
VERTEX 194 元江
VERTEX 195 西安
VERTEX 196 宝鸡
VERTEX 197 桐川
VERTEX 198 黄陆
VERTEX 199 渭南
VERTEX 200 潼关
VERTEX 201 兰田
VERTEX 202 天水
VERTEX 203 中川
VERTEX 204 银川
VERTEX 205 姚伏
VERTEX 206 石嘴山
VERTEX 207 吐鲁蕃
VERTEX 208 乌鲁木齐
VERTEX 209 大黄山
VERTEX 210 奎屯
VERTEX 211 平安
VERTEX 212 西宁
VERTEX 213 嘉峪关市
VERTEX 214 遂溪
VERTEX 215 湛江
VERTEX 216 肇庆
VERTEX 217 云浮
VERTEX 218 清远
VERTEX 219 河源
VERTEX 220 上陵
VERTEX 221 热水
VERTEX 222 梅州
VERTEX 223 阳江
VERTEX 224 黄沙河
VERTEX 225 坛洛
VERTEX 226 百色
VERTEX 227 都安
VERTEX 228 山口
VERTEX 229 宜州
VERTEX 230 兴业
VERTEX 231 友谊关
VERTEX 232 文昌
VERTEX 233 广元
